"Message ID","Date","Event","Instrument","Action","Transect","Station","Cast","Latitude","Longitude","Seafloor","Author","Comment","Cruise","R2R_Event","dateTimeUTC","GPS_Time","dateTime8601","Revisions"
"1","Mon, 12 Nov 2018 16:37:52 +0000","20181112.1637.001","CTD911","deploy","","L01","01"," 41.196235"," -70.883136","","hMcmonagle","","ar32","ar32-SE-20181112.1637.001","20181112.1618","2018/11/12 16:17:57","2018-11-12T16:18:00+0000","","","plain"
"2","Mon, 12 Nov 2018 16:39:21 +0000","20181112.1639.001","CTD911","recover","","L01","01"," 41.196232"," -70.883143","","hMcmonagle","","ar32","ar32-SE-20181112.1639.001","20181112.1635","2018/11/12 16:34:57","2018-11-12T16:35:00+0000","","","plain"
"3","Mon, 12 Nov 2018 19:26:06 +0000","20181112.1926.001","CTD911","deploy","NaN","L03","02"," 40.861342"," -70.882344","","hMcmonagle","","ar32","ar32-SE-20181112.1926.001","20181112.1920","2018/11/12 19:19:57","2018-11-12T19:20:00+0000","","","plain"
"4","Mon, 12 Nov 2018 19:28:04 +0000","20181112.1928.001","Bongo Net","deploy","NaN","L01","01"," 41.194982"," -70.882958","","hMcmonagle","","ar32","ar32-SE-20181112.1928.001","20181112.1701","2018/11/12 17:00:57","2018-11-12T17:01:00+0000","","","plain"
"5","Mon, 12 Nov 2018 19:34:31 +0000","20181112.1934.001","CTD911","recover","NaN","L03","002"," 40.861167"," -70.881586","","hLiu","","ar32","ar32-SE-20181112.1934.001","20181112.1934","2018/11/12 19:34:31","2018-11-12T19:34:31+0000","","","plain"
"6","Mon, 12 Nov 2018 20:24:57 +0000","20181112.2024.001","Bongo Net","deploy","NaN","L03","02"," 40.861193"," -70.881735","","hMcmonagle","","ar32","ar32-SE-20181112.2024.001","20181112.1947","2018/11/12 19:46:57","2018-11-12T19:47:00+0000","","","plain"
"7","Mon, 12 Nov 2018 22:19:45 +0000","20181112.2219.001","CTD911","deploy","NaN","L05","003"," 40.513615"," -70.882538","","jForsyth","","ar32","ar32-SE-20181112.2219.001","20181112.2219","2018/11/12 22:19:45","2018-11-12T22:19:45+0000","","","plain"
"9","Mon, 12 Nov 2018 22:42:08 +0000","20181112.2242.001","CTD911","recover","NaN","L05","003"," 40.513125"," -70.883952","","hLiu","","ar32","ar32-SE-20181112.2242.001","20181112.2236","2018/11/12 22:35:57","2018-11-12T22:36:00+0000","","","plain"
"10","Tue, 13 Nov 2018 00:10:13 +0000","20181113.0010.001","CTD911","deploy","NaN","L06","004"," 40.363702"," -70.877694","","hLiu","","ar32","ar32-SE-20181113.0010.001","20181113.0010","2018/11/13 00:10:13","2018-11-13T00:10:13+0000","","","plain"
"11","Tue, 13 Nov 2018 00:31:29 +0000","20181113.0031.001","CTD911","recover","NaN","L06","004"," 40.363704"," -70.877686","","hLiu","","ar32","ar32-SE-20181113.0031.001","20181113.0031","2018/11/13 00:31:29","2018-11-13T00:31:29+0000","","","plain"
