"Message ID","Date","Event","Instrument","Action","Transect","Station","Cast","Latitude","Longitude","Seafloor","Author","Comment","Cruise","R2R_Event","dateTimeUTC","GPS_Time","dateTime8601","Revisions"
"1","Wed, 18 Sep 2019 12:44:50 +0000","20190918.1244.001","trans10","calibrate","NaN","NaN","NaN"," 41.524020"," -70.672281","","rhudak1","fresh; light; dark calibrations perfomed before cruise","ar38","ar38-SE-20190918.1244.001","20190917.1046","2019/09/17 10:46:32","2019-09-17T10:46:32+0000","","","plain"
"3","Wed, 18 Sep 2019 12:45:27 +0000","20190918.1245.001","trans25","calibrate","NaN","NaN","NaN"," 41.524020"," -70.672281","","rhudak1","fresh; light; dark calibrations perfomed before cruise","ar38","ar38-SE-20190918.1245.001","20190917.1046","2019/09/17 10:46:32","2019-09-17T10:46:32+0000","","","plain"
"4","Fri, 20 Sep 2019 14:13:39 +0000","20190920.1413.001","Ship","startCruise","NaN","NaN","NaN"," 41.513935"," -70.670254","","tCrockford1","","ar38","ar38-SE-20190920.1413.001","20190920.1413","2019/09/20 14:13:39","2019-09-20T14:13:39+0000","","","plain"
"5","Fri, 20 Sep 2019 14:14:16 +0000","20190920.1414.001","Underway Science Seawater Diaphragm Pump","start","NaN","NaN","NaN"," 41.512243"," -70.669810","","mSantos","","ar38","ar38-SE-20190920.1414.001","20190920.1414","2019/09/20 14:14:16","2019-09-20T14:14:16+0000","","","plain"
"6","Fri, 20 Sep 2019 14:26:09 +0000","20190920.1426.001","IFCB continuous","start","NaN","NaN","NaN"," 41.482911"," -70.688630","","mSantos","","ar38","ar38-SE-20190920.1426.001","20190920.1426","2019/09/20 14:26:09","2019-09-20T14:26:09+0000","","","plain"
"7","Fri, 20 Sep 2019 17:00:16 +0000","20190920.1700.001","CTD911","deploy","LTER","L1","001"," 41.197125"," -70.881878","","mSantos","","ar38","ar38-SE-20190920.1700.001","20190920.1700","2019/09/20 17:00:20","2019-09-20T17:00:20+0000"," & Fri Sep 20 18:27:18 2019","","plain"
"8","Fri, 20 Sep 2019 17:02:58 +0000","20190920.1702.001","SUNA V2","onCTD","NaN","NaN","NaN"," 41.197333"," -70.882149","","tCrockford1","prior to C1","ar38","ar38-SE-20190920.1702.001","20190920.1702","2019/09/20 17:02:58","2019-09-20T17:02:58+0000","","","plain"
"9","Fri, 20 Sep 2019 17:03:37 +0000","20190920.1703.001","Other","other","NaN","NaN","NaN"," 41.197373"," -70.882217","","tCrockford1","CPICS onCTD prior to C1","ar38","ar38-SE-20190920.1703.001","20190920.1703","2019/09/20 17:03:37","2019-09-20T17:03:37+0000","","","plain"
"10","Fri, 20 Sep 2019 17:05:00 +0000","20190920.1704.001","SUNA V2","sync time","NaN","NaN","NaN"," 41.197379"," -70.882219","","tCrockford1","sync prior to C1","ar38","ar38-SE-20190920.1704.001","20190920.1704","2019/09/20 17:05:00","2019-09-20T17:05:00+0000","","","plain"
"11","Fri, 20 Sep 2019 17:23:12 +0000","20190920.1723.001","CTD911","recover","LTER","L1","001"," 41.196810"," -70.882040","","mFreilich","bottles failed to fire","ar38","ar38-SE-20190920.1723.001","20190920.1723","2019/09/20 17:23:05","2019-09-20T17:23:05+0000"," & Fri Sep 20 18:26:36 2019","","plain"
