"Message ID","Date","Event","Instrument","Action","Transect","Station","Cast","Latitude","Longitude","Seafloor","Author","Comment","Cruise","R2R_Event","dateTimeUTC","GPS_Time","dateTime8601","Revisions"
12,Sat  29 Apr 2023 13:51:16 +0000,"20230429.1350.001","ADCP300","stop","NaN","NaN","NaN"," 41.225037"," -70.816363",,"hSosik1",,"hrs2303HS","20230429.1350.001","20230429.1337","2023/04/29 13:36:51","2023-04-29T13:37:00+00:00"," & Sat Apr 29 17:03:29 2023"
13,Sat  29 Apr 2023 14:05:32 +0000,"20230429.1403.001","Knudsen 3260","start","NaN","NaN","NaN"," 41.319568"," -70.538123",,"hSosik1",,"hrs2303HS","20230429.1403.001","20230429.0900","2023/04/29 08:59:52","2023-04-29T09:00:00+00:00"," & Sat Apr 29 18:57:13 2023"
14,Sat  29 Apr 2023 14:08:28 +0000,"20230429.1405.001","Knudsen 3260","stop","NaN","NaN","NaN"," 41.222950"," -70.821743",,"hSosik1",,"hrs2303HS","20230429.1405.001","20230429.1339","2023/04/29 13:38:51","2023-04-29T13:39:00+00:00"," & Sat Apr 29 16:59:35 2023"
16,Sat  29 Apr 2023 16:11:04 +0000,"20230429.1610.001","Attune Flow Cytometer","stop","NaN","NaN","NaN"," 41.408060"," -70.832497",,"tCrockford1",,"hrs2303HS","20230429.1610.001","20230429.1611","2023/04/29 16:11:03","2023-04-29T16:11:04+00:00",
17,Sat  29 Apr 2023 16:11:29 +0000,"20230429.1611.001","IFCB continuous","stop","NaN","NaN","NaN"," 41.408555"," -70.831767",,"tCrockford1","going into dock due to weather","hrs2303HS","20230429.1611.001","20230429.1611","2023/04/29 16:11:28","2023-04-29T16:11:29+00:00",
18,Sat  29 Apr 2023 16:11:46 +0000,"20230429.1611.002","EIMS","stop","NaN","NaN","NaN"," 41.408897"," -70.831250",,"fShigihara1",,"hrs2303HS","20230429.1611.002","20230429.1611","2023/04/29 16:11:45","2023-04-29T16:11:46+00:00",
19,Sat  29 Apr 2023 16:12:11 +0000,"20230429.1611.003","Underway Science seawater diaphragm pump","stop","NaN","NaN","NaN"," 41.409367"," -70.830530",,"tCrockford1","turn off because going into dock due to weather","hrs2303HS","20230429.1611.003","20230429.1612","2023/04/29 16:12:10","2023-04-29T16:12:11+00:00",
20,Sat  29 Apr 2023 17:05:39 +0000,"20230429.1704.001","ADCP300","stop","NaN","NaN","NaN"," 41.202440"," -70.872763",,"mSato2",,"hrs2303HS","20230429.1704.001","20230429.1358","2023/04/29 13:58:36","2023-04-29T13:58:45+00:00",
21,Sat  29 Apr 2023 17:06:27 +0000,"20230429.1705.001","ADCP300","start","NaN","NaN","NaN"," 41.195187"," -70.888113",,"mSato2",,"hrs2303HS","20230429.1705.001","20230429.1410","2023/04/29 14:10:51","2023-04-29T14:10:50+00:00",
22,Sat  29 Apr 2023 17:11:14 +0000,"20230429.1710.001","Simrad EK-80","start","NaN","NaN","NaN"," 41.323282"," -70.558748",,"mSato2",,"hrs2303HS","20230429.1710.001","20230429.1036","2023/04/29 10:36:07","2023-04-29T10:36:05+00:00",
23,Sat  29 Apr 2023 17:12:21 +0000,"20230429.1711.001","Simrad EK-80","stop","NaN","NaN","NaN"," 41.292305"," -70.883267",,"mSato2",,"hrs2303HS","20230429.1711.001","20230429.1505","2023/04/29 15:04:51","2023-04-29T15:05:00+00:00",
24,Mon  01 May 2023 18:07:00 +0000,"20230501.1806.001","ADCP300","stop","NaN","NaN","NaN"," 41.292305"," -70.883267",,"hSosik1",,"hrs2303HS","20230501.1806.001","20230429.1505","2023/04/29 15:04:51","2023-04-29T15:05:00+00:00",
25,Mon  01 May 2023 18:07:58 +0000,"20230501.1807.001","Knudsen 3260","stop","NaN","NaN","NaN"," 41.293315"," -70.883150",,"hSosik1","raise keel coming into dock for gale","hrs2303HS","20230501.1807.001","20230429.1505","2023/04/29 15:05:21","2023-04-29T15:05:30+00:00",
